(('Company', 'Google'), ('Date', '8-02-2021'), ('Value', 333.80202533740953), ('Drop', 360.20631891384005), ('Variation', 0.6544204663129594))
(('Company', 'Ducky'), ('Date', '3-02-2021'), ('Value', 457.72461880561497), ('Drop', 913.2809891457482), ('Variation', 0.09326004010951372))
(('Company', 'Microsoft'), ('Date', '3-02-2021'), ('Value', 666.4372243253359), ('Drop', 985.6898949563442), ('Variation', 0.9289382803504946))
(('Company', 'Microsoft'), ('Date', '7-02-2021'), ('Value', 23.10593389022708), ('Drop', 490.9179486867039), ('Variation', 0.5490496649774528))
(('Company', 'Tesla'), ('Date', '11-02-2021'), ('Value', 776.1620370224601), ('Drop', 855.7910300408709), ('Variation', 0.605634445936182))
(('Company', 'Google'), ('Date', '1-02-2021'), ('Value', 880.8362608007965), ('Drop', 775.185470057823), ('Variation', 0.6988826118243188))
(('Company', 'Tesla'), ('Date', '3-02-2021'), ('Value', 865.6043599591213), ('Drop', 275.3116197825126), ('Variation', 0.5304049201733598))
(('Company', 'Google'), ('Date', '7-02-2021'), ('Value', 898.7907622513037), ('Drop', 773.6194396504549), ('Variation', 0.9867552160390061))
(('Company', 'Dunno'), ('Date', '6-02-2021'), ('Value', 819.6629342012599), ('Drop', 345.3678355656412), ('Variation', 0.550050675059372))
(('Company', 'Facebook'), ('Date', '11-02-2021'), ('Value', 295.7411257073009), ('Drop', 629.7009772950533), ('Variation', 0.7819881681272015))
(('Company', 'Microsoft'), ('Date', '1-02-2021'), ('Value', 400.8558020656818), ('Drop', 33.46448451801809), ('Variation', 0.13871028470668245))
(('Company', 'Microsoft'), ('Date', '6-02-2021'), ('Value', 971.2176752338535), ('Drop', 691.0697754693442), ('Variation', 0.2934347731578314))
(('Company', 'Dunno'), ('Date', '6-02-2021'), ('Value', 653.0004253158844), ('Drop', 999.7457530930383), ('Variation', 0.256722546591317))
(('Company', 'Ducky'), ('Date', '6-02-2021'), ('Value', 523.4723009315386), ('Drop', 758.6937553983371), ('Variation', 0.05007082441401112))
(('Company', 'Microsoft'), ('Date', '4-02-2021'), ('Value', 634.6967749261129), ('Drop', 209.66761417896774), ('Variation', 0.1994843835364778))
(('Company', 'Ducky'), ('Date', '1-02-2021'), ('Value', 512.9808864057155), ('Drop', 269.84357128207205), ('Variation', 0.34351344981363763))
(('Company', 'Facebook'), ('Date', '5-02-2021'), ('Value', 26.488655824505546), ('Drop', 965.7946226619468), ('Variation', 0.16094099739647982))
(('Company', 'Tesla'), ('Date', '9-02-2021'), ('Value', 631.4284564462996), ('Drop', 584.176637828842), ('Variation', 0.8926943661349567))
(('Company', 'Google'), ('Date', '1-02-2021'), ('Value', 722.2341203999086), ('Drop', 600.2498492639631), ('Variation', 0.31989086678120104))
(('Company', 'Facebook'), ('Date', '2-02-2021'), ('Value', 604.4357978839348), ('Drop', 307.86269506241626), ('Variation', 0.0521805562635429))
(('Company', 'Dunno'), ('Date', '3-02-2021'), ('Value', 593.5981197062823), ('Drop', 640.6117391079481), ('Variation', 0.9261767982840579))
(('Company', 'Microsoft'), ('Date', '6-02-2021'), ('Value', 104.26998341704952), ('Drop', 794.2798637442147), ('Variation', 0.2017575949108612))
(('Company', 'Google'), ('Date', '11-02-2021'), ('Value', 391.5939408892728), ('Drop', 649.7013796890573), ('Variation', 0.5110220492974116))
(('Company', 'Facebook'), ('Date', '5-02-2021'), ('Value', 809.3898552725695), ('Drop', 744.51348577122), ('Variation', 0.8225927901892711))
(('Company', 'Tesla'), ('Date', '8-02-2021'), ('Value', 65.2149238100277), ('Drop', 496.14970633127143), ('Variation', 0.16806413428889533))
(('Company', 'Microsoft'), ('Date', '11-02-2021'), ('Value', 654.9457711909814), ('Drop', 906.1111672635375), ('Variation', 0.5466395081757459))
(('Company', 'Microsoft'), ('Date', '5-02-2021'), ('Value', 839.8562378375074), ('Drop', 941.4864590663894), ('Variation', 0.6425638880391542))
(('Company', 'Facebook'), ('Date', '6-02-2021'), ('Value', 415.5153813814903), ('Drop', 351.423869480036), ('Variation', 0.8378182435443978))
(('Company', 'Facebook'), ('Date', '8-02-2021'), ('Value', 272.37922725871266), ('Drop', 56.964116765471864), ('Variation', 0.2671317133553307))
(('Company', 'Facebook'), ('Date', '6-02-2021'), ('Value', 338.30567712639515), ('Drop', 364.59772275667245), ('Variation', 0.09147837010250759))
(('Company', 'Tesla'), ('Date', '9-02-2021'), ('Value', 688.3317744674104), ('Drop', 695.9227768247266), ('Variation', 0.9750180219000505))
(('Company', 'Microsoft'), ('Date', '6-02-2021'), ('Value', 192.8870932171226), ('Drop', 877.1155952152627), ('Variation', 0.15314234684929584))
(('Company', 'Dunno'), ('Date', '8-02-2021'), ('Value', 889.2720896072022), ('Drop', 138.9397916656282), ('Variation', 0.6960258944007811))
(('Company', 'Tesla'), ('Date', '1-02-2021'), ('Value', 270.80117104093296), ('Drop', 342.30645843792587), ('Variation', 0.7045857795188517))
